name,distance,moving_time,sport_type,start_date_local,average_speed,average_heartrate,max_heartrate
Afternoon Run,5000.0,1802,Run,2024-01-01T13:29:04Z,2.775,141.9,151.0
Morning Run,4943.9,1805,Run,2024-01-03T07:52:38Z,2.739,127.4,139.0
Morning Run,6031.7,2037,Run,2024-01-04T07:51:24Z,2.961,161.1,182.0
Afternoon Run,6051.1,2303,Run,2024-01-05T16:45:20Z,2.627,148.5,168.0
Lunch Run,7013.8,2629,Run,2024-01-07T11:47:59Z,2.668,151.3,166.0
Morning Run,4994.0,1801,Run,2024-01-08T07:41:12Z,2.773,124.4,144.0
Morning Run,5002.4,1806,Run,2024-01-09T08:32:21Z,2.77,124.8,133.0
Evening Run,5971.8,1920,Run,2024-01-12T20:10:16Z,3.11,167.2,182.0
Afternoon Run,8005.5,2593,Run,2024-01-13T15:02:48Z,3.087,152.2,181.0
Lunch Run,7316.4,2284,Run,2024-01-14T11:15:14Z,3.203,152.3,170.0
Morning Run,5060.6,1662,Run,2024-01-15T10:24:27Z,3.045,149.6,172.0
Morning Run,5050.0,1826,Run,2024-01-16T08:07:55Z,2.766,131.5,145.0
Come back to CPH they said 🧊,8505.7,2850,Run,2024-01-17T07:17:52Z,2.984,145.0,164.0
Morning Run,5079.3,1640,Run,2024-01-18T07:35:21Z,3.097,147.1,157.0
Afternoon Run,5620.0,1773,Run,2024-01-19T13:49:06Z,3.17,158.6,187.0
With Vitto,5092.3,1849,Run,2024-01-20T16:35:05Z,2.754,138.4,148.0
Morning Run,16926.3,5103,Run,2024-01-21T10:40:50Z,3.317,162.0,195.0
Morning Run,5042.9,1659,Run,2024-01-23T08:10:43Z,3.04,151.3,167.0
Morning Run,4052.2,1452,Run,2024-01-24T07:25:32Z,2.791,137.1,153.0
Morning Run,4794.3,1680,Run,2024-01-25T07:37:02Z,2.854,143.3,157.0
Afternoon Run,6920.0,2348,Run,2024-01-27T14:52:47Z,2.947,153.3,168.0
Afternoon Run,6816.3,2028,Run,2024-01-28T14:26:08Z,3.361,162.5,175.0
Afternoon Run,6330.0,2203,Run,2024-01-28T16:31:42Z,2.873,149.9,169.0
Morning Run,12903.0,3966,Run,2024-01-30T06:56:32Z,3.253,163.6,181.0
Morning Run,2200.0,754,Run,2024-01-30T08:03:49Z,2.918,158.0,174.0
Morning Run,11890.1,3937,Run,2024-02-01T07:04:48Z,3.02,147.0,168.0
Morning Run,8036.9,2638,Run,2024-02-02T07:28:50Z,3.047,145.6,178.0
Morning Run,20915.0,6449,Run,2024-02-04T10:29:48Z,3.243,162.6,186.0
Morning Run,10758.5,3627,Run,2024-02-06T07:14:40Z,2.966,157.6,180.0
Morning Run,12940.0,3836,Run,2024-02-08T07:05:00Z,3.373,164.7,186.0
Afternoon Run,1631.6,546,Run,2024-02-09T17:19:48Z,2.988,131.3,156.0
Afternoon Run,4022.6,1443,Run,2024-02-09T17:39:26Z,2.788,137.1,150.0
Afternoon Run,24824.6,8162,Run,2024-02-10T13:01:48Z,3.041,159.0,194.0
Morning Run,12906.4,3918,Run,2024-02-13T06:50:02Z,3.294,153.8,174.0
Morning Run,1256.3,400,Run,2024-02-13T07:57:55Z,3.141,158.7,172.0
With Vitto,6011.6,2225,Run,2024-02-14T18:58:12Z,2.702,136.8,151.0
Morning Run,15171.2,4763,Run,2024-02-15T06:51:44Z,3.185,159.1,181.0
Evening Run,6179.7,2138,Run,2024-02-16T18:13:49Z,2.89,134.7,146.0
Lunch Run,25012.8,7653,Run,2024-02-17T12:35:39Z,3.268,154.2,175.0
Afternoon Run,8025.7,2682,Run,2024-02-20T16:24:53Z,2.992,148.2,161.0
Morning Run,10092.6,2898,Run,2024-02-21T07:20:39Z,3.483,160.3,182.0
Morning Run,16367.1,5117,Run,2024-02-22T07:12:38Z,3.199,152.2,183.0
Evening Run,8002.9,2736,Run,2024-02-23T18:27:32Z,2.925,155.8,178.0
Long w/ vitto & nuno,26272.7,8789,Run,2024-02-24T13:32:02Z,2.989,156.4,182.0
Afternoon Run,8040.4,2597,Run,2024-02-26T13:12:44Z,3.096,157.8,184.0
Morning Run,18288.6,5595,Run,2024-02-28T06:17:05Z,3.269,153.9,179.0
Morning Run,9877.2,3093,Run,2024-03-01T07:15:26Z,3.193,153.4,180.0
Morning Run,23797.2,7194,Run,2024-03-02T09:20:24Z,3.308,163.0,185.0
Morning Run,8030.5,2569,Run,2024-03-05T07:33:37Z,3.126,146.1,154.0
Morning Run,3842.4,1288,Run,2024-03-06T07:21:37Z,2.983,139.7,151.0
Morning Run,4995.9,1434,Run,2024-03-06T07:44:08Z,3.484,150.7,171.0
Morning Run,3801.3,1217,Run,2024-03-06T08:08:58Z,3.124,143.4,155.0
Morning Run,16653.9,4955,Run,2024-03-07T06:46:08Z,3.361,154.0,165.0
Evening Run,4039.6,1382,Run,2024-03-08T18:06:25Z,2.923,137.7,155.0
W/ Vitto 💨🍃,23002.6,7351,Run,2024-03-10T15:04:32Z,3.129,133.4,153.0
Morning Run,6029.3,2242,Run,2024-03-12T07:07:45Z,2.689,132.0,141.0
Morning Run,16059.9,4806,Run,2024-03-13T06:40:23Z,3.342,164.1,180.0
Evening Run,8004.9,2641,Run,2024-03-15T18:22:55Z,3.031,150.4,178.0
Morning Run,16087.9,4988,Run,2024-03-16T09:31:37Z,3.225,170.7,188.0
Evening Run,8545.3,2831,Run,2024-03-19T18:18:30Z,3.018,138.8,161.0
Evening Run,8567.1,2857,Run,2024-03-20T18:57:13Z,2.999,150.7,162.0
Evening Run,8540.6,2755,Run,2024-03-22T18:45:00Z,3.1,150.2,169.0
Afternoon Run,20141.7,6465,Run,2024-03-24T16:04:36Z,3.115,165.0,179.0
Morning Run,5028.2,1670,Run,2024-03-26T07:21:39Z,3.011,150.8,166.0
Afternoon Run,5034.3,1695,Run,2024-03-30T17:15:26Z,2.97,133.5,157.0
Morning Run,5007.9,1706,Run,2024-03-31T10:32:53Z,2.935,150.5,167.0
Morning Run,8634.1,2792,Run,2024-04-02T07:00:57Z,3.092,153.1,173.0
Lunch Run,7013.7,2415,Run,2024-04-03T11:23:28Z,2.904,158.7,176.0
Lunch Run,8786.7,2894,Run,2024-04-05T12:08:42Z,3.036,153.7,175.0
Afternoon Run,6547.3,2267,Run,2024-04-06T14:37:01Z,2.888,149.2,163.0
Lunch Run,18891.2,5600,Run,2024-04-07T12:32:41Z,3.373,165.5,177.0
Afternoon Run,7393.3,2887,Run,2024-04-07T14:19:13Z,2.561,149.3,164.0
Morning Run,10094.1,3157,Run,2024-04-09T07:28:26Z,3.197,152.1,162.0
Morning Run,9154.1,2987,Run,2024-04-10T07:49:23Z,3.065,146.8,163.0
Evening Run,8040.8,2637,Run,2024-04-13T19:08:11Z,3.049,156.8,167.0
Lunch Run,19581.9,6030,Run,2024-04-14T11:13:37Z,3.247,156.8,170.0
Morning Run,7018.6,2222,Run,2024-04-16T08:23:07Z,3.159,148.0,161.0
Lunch Run,9451.4,2908,Run,2024-04-17T12:01:05Z,3.25,148.8,163.0
Vienna marathon 2024 🇦🇹,42631.6,13212,Run,2024-04-21T09:06:36Z,3.227,164.8,177.0
Afternoon Run,3716.5,1351,Run,2024-04-25T17:56:40Z,2.751,134.4,148.0
Morning Run,14704.6,5136,Run,2024-04-27T08:23:02Z,2.863,159.2,174.0
Morning Run,5048.1,1567,Run,2024-04-29T07:12:37Z,3.221,152.8,171.0
Evening Run,4014.9,1391,Run,2024-04-30T19:24:15Z,2.886,137.8,153.0
Evening Run,5061.7,1598,Run,2024-05-01T18:04:06Z,3.168,152.6,168.0
Morning Run,5077.4,1587,Run,2024-05-03T07:25:55Z,3.199,156.8,168.0
Elevation training camp Camerano 🇮🇹,9550.4,3658,Run,2024-05-04T09:23:18Z,2.611,164.4,188.0
Lunch Run,6954.7,3033,Run,2024-05-05T12:12:10Z,2.293,136.3,170.0
Lunch Run,2885.2,996,Run,2024-05-07T12:30:07Z,2.897,142.4,157.0
Morning Run,5034.1,1769,Run,2024-05-08T09:46:52Z,2.846,142.5,192.0
Afternoon Run,4036.9,1565,Run,2024-05-09T14:21:44Z,2.58,151.7,187.0
Afternoon Run,14269.3,4311,Run,2024-05-11T17:31:19Z,3.31,169.9,187.0
Milan w/ vitto,5696.8,2000,Run,2024-05-12T10:26:18Z,2.848,136.0,149.0
Evening Run,5056.7,1615,Run,2024-05-15T19:45:22Z,3.131,143.0,152.0
Morning run,8072.2,2469,Run,2024-05-17T07:21:35Z,3.269,159.1,170.0
W/ vitto 🧡,9620.7,3162,Run,2024-05-18T11:10:18Z,3.043,151.4,163.0
Afternoon Run,8922.8,2829,Run,2024-05-19T16:14:50Z,3.154,159.3,173.0
Lunch Run,7103.6,2620,Run,2024-05-20T12:19:55Z,2.711,135.6,148.0
Afternoon Run,5075.6,1586,Run,2024-05-22T17:39:45Z,3.2,160.2,172.0
Morning Runs Hit Better,5457.0,1689,Run,2024-05-23T07:52:16Z,3.231,152.1,162.0
Confirmed: Mornings hit much better,10011.6,3009,Run,2024-05-25T09:04:11Z,3.327,145.3,165.0
There’s a weird smell in the air,10012.0,2945,Run,2024-05-26T09:47:05Z,3.4,169.8,188.0
Afternoon Run,7009.4,2227,Run,2024-05-28T16:19:19Z,3.147,157.9,167.0
Lunch Run,6018.0,2058,Run,2024-05-29T12:33:15Z,2.924,136.4,154.0
Evening Run,5001.0,1729,Run,2024-05-30T18:58:57Z,2.892,133.3,148.0
Afternoon Run,2602.3,905,Run,2024-06-01T16:58:14Z,2.875,139.4,151.0
Morning Run,14549.3,4747,Run,2024-06-02T10:16:49Z,3.065,159.7,173.0
Morning Run,5108.3,1830,Run,2024-06-04T07:04:14Z,2.791,137.5,147.0
Evening Run,6999.5,2176,Run,2024-06-06T18:27:40Z,3.217,151.1,167.0
Evening Run,4990.5,1567,Run,2024-06-07T20:07:40Z,3.185,135.8,154.0
Morning Run,7855.9,2296,Run,2024-06-09T10:07:28Z,3.422,156.8,171.0
Morning Run,7494.7,2252,Run,2024-06-13T06:59:16Z,3.328,161.1,176.0
Morning Run,6820.8,2058,Run,2024-06-14T07:30:49Z,3.314,156.8,169.0
Morning Run,12933.4,4092,Run,2024-06-16T07:41:38Z,3.161,149.4,162.0
Afternoon Run,6021.2,1927,Run,2024-06-17T17:15:51Z,3.125,163.1,174.0
Morning Run,5088.1,1631,Run,2024-06-18T07:17:05Z,3.12,152.0,167.0
Evening Run,5479.0,1715,Run,2024-06-19T18:43:53Z,3.195,147.7,176.0
Afternoon Run,7318.3,2346,Run,2024-06-21T16:40:47Z,3.119,160.9,172.0
Morning Run,11961.9,3673,Run,2024-06-22T08:51:20Z,3.257,158.6,173.0
Morning Run,4990.8,1684,Run,2024-06-23T09:42:03Z,2.964,141.3,151.0
Morning Run,5056.8,1683,Run,2024-06-24T07:17:39Z,3.005,140.0,149.0
Morning Run,8535.4,2862,Run,2024-06-25T07:31:22Z,2.982,144.7,171.0
Morning Run,5041.1,1682,Run,2024-06-26T08:01:43Z,2.997,145.1,156.0
Morning Run,5073.2,1676,Run,2024-06-27T10:12:31Z,3.027,148.9,162.0
Morning Run,5283.4,1682,Run,2024-06-28T08:46:14Z,3.141,151.3,162.0
